id_meta,n,d,area,type_synthesis
alvarez_2006,64,-0.09,c,ma
au_2015,24,0.023,c,ma
au_2015,24,-0.208,c,ma
au_2015,36,0.645,c,ma
au_2015,56,0.212,c,ma
au_2015,30,0.389,c,ma
au_2015,68,0.552,c,ma
au_2015,43,-0.019,c,ma
au_2015,16,0.64,c,ma
au_2015,22,0.283,c,ma
au_2015,16,1.109,c,ma
au_2015,15,0.22,c,ma
au_2015,52,0.184,c,ma
au_2015,73,0.054,c,ma
au_2015,20,0.337,c,ma
au_2015,29,-0.28,c,ma
au_2015,53,-0.053,c,ma
au_2015,55,0.759,c,ma
au_2015,38,0.816,c,ma
au_2015,44,0.263,c,ma
au_2015,45,0.349,c,ma
au_2015,56,-0.07,c,ma
au_2015,19,-0.157,c,ma
au_2015,54,0.416,c,ma
au_2015,39,-0.276,c,ma
baker_2014,15,-0.26222524504216305,c,ma
baker_2014,20,0.30343304245450414,c,ma
baker_2014,69,0.82163362512238,c,ma
baker_2014,16,-0.1605144707810256,c,ma
baker_2014,254,0.1807334587819829,c,ma
baker_2014,50,0.5163977794943222,c,ma
baker_2014,58,0.1807334587819829,c,ma
baker_2014,124,0.82163362512238,c,ma
baker_2014,134,0.82163362512238,c,ma
baker_2014,20,0.3241763593892431,c,ma
baker_2014,20,-0.1403442656943099,c,ma
baker_2014,48,0.8990385001692824,c,ma
baker_2014,189,0.5608290087036863,c,ma
baker_2014,48,-0.06002701823867952,c,ma
baker_2014,6,-0.7230769971004929,c,ma
baker_2014,18,0.1807334587819829,c,ma
baker_2014,76,0.30343304245450414,c,ma
baker_2014,40,0.6060437322090948,c,ma
baker_2014,20,0.9799578870122228,c,ma
baker_2014,20,2.6666666666666674,c,ma
baker_2014,13,0.38705047652302255,c,ma
baker_2014,13,-0.1807334587819829,c,ma
baker_2014,54,0.8990385001692824,c,ma
baker_2014,20,-0.3450221204771904,c,ma
baker_2014,19,0.5833333333333334,c,ma
baker_2014,153,-0.28278500713637195,c,ma
baker_2014,18,0.6755205294731985,c,ma
baker_2014,15,-0.6060437322090948,c,ma
baker_2014,72,0.2213432019235216,c,ma
baker_2014,40,0.5385204638677067,c,ma
baker_2014,38,0.4295790167172091,c,ma
baker_2014,34,-0.1403442656943099,c,ma
baker_2014,26,0.628970902033151,c,ma
baker_2014,30,0.7472647177570733,c,ma
baker_2014,27,0.5385204638677067,c,ma
baker_2014,20,0.5163977794943222,c,ma
baker_2014,20,-0.1403442656943099,c,ma
baker_2014,20,-0.4082482904638631,c,ma
baker_2014,21,0.9525614565086916,c,ma
baker_2014,36,0.8470758203687988,c,ma
baker_2014,19,0.5833333333333334,c,ma
baker_2014,38,0.4944513860581975,c,ma
baker_2014,45,0.1403442656943099,c,ma
baker_2014,48,0.8470758203687988,c,ma
baker_2014,88,0.9799578870122228,c,ma
baker_2014,94,0.0020000010000007498,c,ma
baker_2014,150,0.652125970874945,c,ma
baker_2014,25,0.08006407690254357,c,ma
baker_2014,46,0.3450221204771904,c,ma
baker_2014,60,0.1403442656943099,c,ma
baker_2014,43,0.24174688920761409,c,ma
baker_2014,39,0.8728715609439696,c,ma
baker_2014,46,1.3171055481963494,c,ma
baker_2014,37,0.3450221204771904,c,ma
baker_2014,47,1.7106744068953994,c,ma
baker_2014,69,0.7717436331412897,c,ma
baker_2014,24,0.24174688920761409,c,ma
baker_2014,22,0.5385204638677067,c,ma
